Name,Field,Bio,Age,Country,Source,Specialisation 
Marta Vieira da Silva,Sportswomen,"Marta Vieira da Silva (born 19 February 1986), is a Brazilian footballer with both Brazilian and Swedish citizenship, who plays for the Orlando Pride in the National Women's Soccer League and the Brazil national team as a forward. She holds the record for being Brazil's top international goalscorer of either gender, with 112 goals. With 17 goals, Marta also holds the record for most goals scored in the FIFA World Cup tournament (women's or men's). She is UN Women Goodwill Ambassador for women and girls in sport. Marta, wants to inspire women and girls to challenge stereotypes, overcome barriers and follow their dreams and ambitions, including in the area of sport. An icon and role model for many, Marta is widely regarded as the best female soccer player of all time. This is the sixth year in a row that she has won the Best FIFA Women’s Player award. During her recent visit to UN Women headquarters in New York, Marta spoke about her personal journey, motivation and what she hopes to do as UN Women Goodwill Ambassador and said ""My message to girls everywhere in this world: believe in yourself and trust yourself, because if you don’t believe in yourself, no one else will.”",35,Brazil,"https://www.wikipedia.org/, https://www.unwomen.org/en/news/stories/2018/9/in-the-words-of-marta-vieira-da-silva",Soccer
Katherine Johnson,STEM,"Born in 1918, Katherine Johnson, graduated from university at 18. She was awarded the Presidential Medal of Freedom in 2015 for a lifetime of work as a pioneering physicist, mathematician and space scientist. She and her colleagues, Dorothy Vaughan and Mary Jackson did the calculations that guided NASA’s 1962 Friendship 7 Mission. A teacher and research mathematician, she co-authored over 25 scientific papers.  Can you imagine how rare this brainy young teen was, entering West Virginia State College in 1932? About as unique as an African American woman scientist at NASA in the 1950s. She was both—making her the rarest of the rare! Shauna Gammon, Ayogo’s Lead Product Designer: “I am so grateful that Katherine Johnson helped pave the way for women like me to pursue careers in mathematics and technology. Katherine’s accomplishments are astounding, as was her graceful self-assurance that she belonged wherever her abilities carried her.”",0,USA,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,NASA Space Scientist
Joan Clarke,STEM,"Joan Clarke was born in 1917 and gained a First in mathematics from Cambridge but was denied a Full Degree as Cambridge did not award them to women at the time. She was the only woman to work in the nerve centre of the quest to crack German Enigma ciphers. Because of the secrecy that still surrounds events atBletchley Park, the full extent of Clarke’s achievements and those of her colleagues Margaret Rock, Mavis Lever and Ruth Briggs, remains unknown. Avi van Haren, Ayogo’s Director of Product Management, chose to celebrate Joan: “Watching The Imitation Game, I was introduced to Joan, a brilliant woman who was part of saving so many lives and deserves her place in history.”",0,UK,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Code Breaker & Cryptanalyst
Rear Admiral Grace Hopper,STEM,"An American computer scientist, and a Rear Admiral in the US Navy, Grace Hopper invented the first programming language to use english words. She is seen as a key inventor of the languageCOBOL (an acronym for COmmonBusiness-OrientedLanguage) a widely used programming language. She graduated Phi Beta Kappa from Vassar in 1928 with a bachelor’s degree in mathematics and physics and earned her master’s degree at Yale University in 1930. Even though she was only 105 pounds, well under the minimum weight for joining the navy, she got an exemption and enlisted in WWII. After the war, still working for the navy, her associates discovered a moth mucking up the Mark II Computer. It was removed and she coined the term “debugging”. She then joined the UNIVAC team where she pioneered using computers for more than arithmetic. By 1952 she had invented an operational compiler, the first she knew of. Ayogo software developer Stacey Vachon found a few famous quotes by Admiral Hopper: “If it’s a good idea, go ahead and do it. It’s much easier to apologize than it is to get permission.” “Humans are allergic to change. They love to say, “We’ve always done it this way.” I try to fight that. That’s why I have a clock on my wall that runs counter-clockwise.”",0,USA,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Inventor & Computer Scientist
Roberta Bondar,STEM,"Canada’s first female astronaut and the world’s first astronaut-neurologist. Roberta Bondar has received many honours including the Order of Canada, the Order of Ontario, the NASA Space Medal, over 22 honorary degrees, and induction into the Canadian Medical Hall of Fame. After her astronaut career she spent the next decade leading an international research team at NASA studying the effects on astronauts of spaceflight and re-adaptation back to Earth’s gravity. Nicole Moisey, Ayogo’s Employee Experience Manager admires Dr. Bondar: “Growing up, Dr. Bondar was my hero and inspired me to go after my dreams. If she could reach her dreams then so could I!”",76,Canada,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Astronaut Neurologist
Francoise Barré-Sinoussi,STEM,"Parisian scientist Francoise Barré-Sinoussi is a celebrated for her discovery of HIV as the cause of the immunodeficiency disease, AIDS. In 2008, Barré, along with Luc Montaigner, discovered that the HIV retrovirus attacked lymphocytes, a blood cell that plays an important role in the body’s immune system. Her vital work has helped millions of people who are HIV-positive to live long, healthy lives, and could pave the way for a cure in the near future.",74,France,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Virologist
Aretha Franklin,Musician,"First and foremost comes her late Majesty the Queen of Soul. Aretha Franklin’s sparkling career began with humble roots when she began singing in her local gospel choir. Her uniqueness, however, was apparent from early on, and she recorded her first album at the tender age of 14. She then transitioned to secular music and became a worldwide superstar. Franklin’s music later became an important part of the civil rights movement, and songs such as her version ‘I Say A Little Prayer’ became a tribute to Martin Luther King.
Her voice was described as the definition of soul, with its warm, rich tone. She touched many with the rawness of the message of her songs, as she once said, ‘I sing to the realist. People who accept it like it is’. After hearing her feminist take of Respect, Otis Redding remarked ‘I just lost my song. That girl took it away from me.’",0,USA,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Singer-Songwriter 
Joni Mitchell,Musician,"Born Roberta Joan Anderson, the Canadian Joni Mitchell first started singing for her parents at the age of 9 when recovering in hospital after contracting polio. First influenced by Classical music, she went on to teach herself to play guitar, ukulele and dulcimer, and she is known for the complexity of her compositions. Producing a mixture of folk, pop, rock and jazz, her songs often reflect on social and environmental issues. She has won eight Grammy Awards, and her song ‘Both Sides Now’ was played in the opening ceremony for the Winter Olympic Games in Vancouver in 2011.",78,Canada ,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Singer-Songwriter 
Bjork,Musician,"The Icelandic singer Bjork (meaning ‘birch-tree’ in Icelandic) is known for being truly non-conformist. Once a member of a band whose name translates to ‘Cork the Bitch’s Ass’. She later formed the gothic punk band KUKL, meaning ‘witchcraft’ in Medieval Icelandic. Her eclectic solo career has since secured 8th place on MTV’s ’22 Greatest Voices in Music’ in 2005. She was once offered an island, now known as ‘Bjork Island’ as a gift from the Icelandic government, and, although she was tempted, she declined the offer due to concerns for her privacy.",56,Iceland,https://www.internationalwomensday.com/Activity/7213/13-Women-in-STEM-Who-Changed-the-World,Singer-Songwriter 
Madonna,Musician,"The musical juggernaut of pop stardom that we have today would be dust in the wind without the wild, flamboyant, shameless and ever-evolving performance and artistry of Madonna. There’s a reason she’s coined as “The Queen of Pop.” Her accolades are bountiful and the Guinness Book of World Records recognizes her as the best-selling female recording artist of all time – the kind of accomplishment others can only imagine in their wildest dreams. The ’80s pop icon is beloved around the world and remains a strong, cultural force due to her admirable and unrelenting passion to keep pushing the boundaries of what music and performance can or should be. ",63,USA,https://www.grimygoods.com/2015/03/12/20-of-the-most-inspiring-women-in-music-womens-history-month/,Singer-Songwriter 
Louise Farrenc ,Musician,"The French pianist (1804-75) Louise Farrenc was appointed to the Paris Conservatoire in 1842, and remained there for 30 years. She was the first woman in Europe to be an instrumental professor at a conservatoire, although for the first ten years of her time there she was paid less than her male counterparts. Farrenc was also a composer, and her music was particularly admired by Schumann; her Third Symphony was included in The Guardian’s recent ‘50 greatest symphonies’ series.",0,France,https://www.classical-music.com/features/artists/six-most-inspiring-women-music/,Pianist
